name,address,city,state,category,yelp_url
Lebanese Taverna,2641 Connecticut Ave NW,Washington,DC,Lebanese,https://www.yelp.com/biz/lebanese-taverna-washington?osq=lebanese+taverna
Taqueria Distrito Federal 2,805 Kennedy St NW,Washington,DC,Latin American,https://www.yelp.com/biz/taqueria-distrito-federal-2-washington
Florida Avenue Grill,1100 Florida Ave NW,Washington,DC,Soul Food,https://www.yelp.com/biz/florida-avenue-grill-washington
Dupont Italian Kitchen,1637 17th St NW,Washington, DC,Italian,https://www.yelp.com/biz/dupont-italian-kitchen-washington?osq=dupont+italian+kitchen
Cava Mezze,527 8th St SE,Washington,DC,Mediterranean,https://www.yelp.com/biz/cava-mezze-washington-6
Pho Fusion,8038 Clairemont Mesa Blvd,San Diego,CA,Vietnamese,https://www.yelp.com/biz/pho-fusion-san-diego
In-N-Out Burger,2910 Damon Ave,Pacific Beach,CA,Burgers,https://www.yelp.com/biz/in-n-out-burger-pacific-beach?osq=in
OB Noodle House,2218 Cable St,San Diego,CA,Asian,https://www.yelp.com/biz/ob-noodle-house-san-diego?osq=Ob+Noodle+House+and+Sake+Bar
Lolita's Mexican Food,7305 Clairemont Mesa Blvd Ste A,San Diego,CA,Mexican,https://www.yelp.com/biz/lolitas-mexican-food-san-diego-5?osq=Lolita%27s+Mexican+Food
Pacific Beach Fish Shop,1775 Garnet Ave,San Diego,CA,Seafood,https://www.yelp.com/biz/pacific-beach-fish-shop-san-diego?osq=pb+fish+shop


 
